Name,neck:sternocleidomastoid:sternocleidomastoid,neck:longus_colli_longus_capitis:longus_colli_longus_capitis,neck:scalenes:scalenes,trapezius_front:trapezius_front:trapezius_front,deltoid_front:deltoid_anterior:deltoid_anterior,deltoid_front:deltoid_lateral_front:deltoid_lateral_front,chest:seratus_anterior:seratus_anterior,chest:pectoralis_minor:pectoralis_minor,chest:pectoralis_major:lower_pectoralis_major,chest:pectoralis_major:mid_pectoralis_major,chest:pectoralis_major:upper_pectoralis_major,teres_major:teres_major:teres_major,biceps_brachi:short_biceps_brachi:short_biceps_brachi,biceps_brachi:long_biceps_brachi:long_biceps_brachi,triceps_brachi:triceps_brachi_medial_head:triceps_brachi_medial_head,triceps_brachi:triceps_brachi_lateral_head:triceps_brachi_lateral_head,core:external_oblique:external_oblique,core:transversus_abdominis:transversus_abdominis,core:rectus_abdominis:lower_rectus_abdominis,core:rectus_abdominis:upper_rectus_abdominis,core:internal_oblique:internal_oblique,lower_arm:finger_flexors:finger_flexors,lower_arm:wrist_flexors:wrist_flexors,iliopsoas:iliopsoas:iliopsoas,pectineus:pectineus:pectineus,hip_deep_muscles:hip_deep_muscles:hip_deep_muscles,adductors:adductor_brevis:adductor_brevis,adductors:adductor_longus:adductor_longus,gracilis:gracilis:gracilis,thigh:quadriceps:rectus_femoris,thigh:quadriceps:vastus_intermedius,thigh:quadriceps:vastus_lateralis,thigh:quadriceps:vastus_medialis,thigh:sartorius:sartorius,thigh:tfl:tfl,knee:knee:knee,anterior_shin:anterior_shin:anterior_shin,gastrocnemius:gastrocnemius:gastrocnemius,foot:foot:foot,trapezius_back:upper_trapezius:upper_trapezius,trapezius_back:middle_trapezius:middle_trapezius,trapezius_back:lower_trapezius:lower_trapezius,erector_spinae:erector_spinae_cervical:erector_spinae_cervical,erector_spinae:erector_spinae_thoracis:erector_spinae_thoracis,erector_spinae:erector_spinae_lumbar:erector_spinae_lumbar,rhomboid:rhomboid_minor:rhomboid_minor,rhomboid:rhomboid_major:rhomboid_major,acromion:acromion:acromion,deltoid_back:deltoid_lateral_back:deltoid_lateral_back,deltoid_back:deltoid_posterior:deltoid_posterior,spinatus:supraspinatus:supraspinatus,spinatus:infraspinatus:infraspinatus,triceps_brachi:triceps_brachi_long_head:triceps_brachi_long_head,teres_mami:teres_mami:teres_mami,latisimus_dorsi:latisimus_dorsi:latisimus_dorsi,serratus_posterior:serratus_posterior:serratus_posterior,lower_arm:elbow:elbow_upper,lower_arm:elbow:elbow_middle_1,lower_arm:elbow:elbow_middle_2,lower_arm:elbow:elbow_lower,lower_arm:wrist_extensors:wrist_extensors,lower_arm:finger_extensors:finger_extensors,quadratus_lumborum:quadratus_lumborum:quadratus_lumborum,gluteus:gluteus_maximus:gluteus_maximus,gluteus:gluteus_minimus:gluteus_minimus,gluteus:gluteus_medius:gluteus_medius,adductor_magnus:adductor_magnus:adductor_magnus,semitendinosus:semitendinosus:semitendinosus,biceps_femoris:biceps_femoris_long_head:biceps_femoris_long_head,biceps_femoris:biceps_femoris_short_head:biceps_femoris_short_head,semimembranosus:semimembranosus:semimembranosus,soleus:soleus:soleus
Deep Back Squat,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Acceleration Squat - FW,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
SL Acceleration Squat - FW,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Half Squat - FW,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Split Jerk,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Hip Thrust - BB,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,3,3,3,3,3,10,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,5,10,10,10,,6,6,6,6,
Deadlift - BB,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,5,5,5,5,5,9,,,,,,,,8,8,8,,,,,,,,,,,,,,,,,,8,9,9,9,,9,9,9,9,
SL RDL - BW,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,5,5,5,5,5,9,,,,,,,,8,8,8,,,,,,,,,,,,,,,,,,8,9,9,9,,9,9,9,9,
SL Hip Thrust - KB,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,3,3,3,3,3,10,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,5,10,10,10,,6,6,6,6,
SL RDL - DB,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,5,5,5,5,5,9,,,,,,,,8,8,8,,,,,,,,,,,,,,,,,,8,9,9,9,,9,9,9,9,
SL Crab Hip Thrust,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,3,3,3,3,3,10,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,5,10,10,10,,6,6,6,6,
Push up - Knee,,,,,6,,,8,8,8,,,,,7,7,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
Push Up Jump,,,,,6,,,8,8,8,,,,,7,7,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
Push Up Fly,,,,,6,,,8,8,8,,,,,7,7,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
Bench Press - BB,,,,,7,,,9,9,9,,,,,7,7,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
Sled Acceleration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Press - DB,,,,,9,7,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,7,,,,8,,,,,,,,,,,,,,,,,,,
Military Press - BB,,,,,9,7,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,7,,,,8,,,,,,,,,,,,,,,,,,,
Glute Bridge SL Reach Reflex,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,3,3,3,3,3,10,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,5,10,10,10,,6,6,6,6,
Trx row,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,4,4,8,8,,,7,,,,,8,,,,,,,,4,,,,,,,,,
V-Sit Vertical Throw - MB,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,4,4,8,8,,,7,,,,,8,,,,,,,,4,,,,,,,,,
Throw down - MB,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,4,4,8,8,,,7,,,,,8,,,,,,,,4,,,,,,,,,
Squat Rows - FW,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Side plank - Row,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,4,4,8,8,,,7,,,,,8,,,,,,,,4,,,,,,,,,
SHS Knee Ext Taps to Drop Step Accel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rows Sitting SA - FW,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,4,4,8,8,,,7,,,,,8,,,,,,,,4,,,,,,,,,
Rows - Bent Over SA DB,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,4,4,8,8,,,7,,,,,8,,,,,,,,4,,,,,,,,,
Ankle Jumps (10-5),,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,,7,7,7,7,
Donkey Calf,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,2,2,2,2,2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,9
ZigZag 8 - EC Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zig-Zag - EC Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toe Back Squat,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Toe Squat,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Sprinter Plank - Wall,,,,,,,,,,,,,,,,,7,7,,,7,,,,,,,,,,,,,,3,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,4,3,3,3,,,,,,
Sled Side Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sled March - T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sled Lateral Pull Alt - T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sled Crawl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sled Carioca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sled Back to Forward Acceleration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skull Crusher - DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian Split Squat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDL - BB,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,5,5,5,5,5,9,,,,,,,,8,8,8,,,,,,,,,,,,,,,,,,8,9,9,9,,9,9,9,9,
Deep Back Squat - BB,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Biceps Curl - DB,,,,,,,,,,,,,9,9,,,,,,,,8,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biceps Curl SA - DB,,,,,,,,,,,,,9,9,,,,,,,,8,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back Squat w OHP - BB,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Lateral Lunge w Plate Reach - DI,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Forward Lunge,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
Carioca Squat - BW,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,9,9,9,9,9,8,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,6,8,8,8,,5,5,5,5,
